type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-01-19T03:48,2023-01-19T12:31:30,515,33.435339805825244,NaN,NaN,NaN,NaN
IDT,2023-01-21T04:30,2023-01-21T09:12,282,32.28404255319149,NaN,NaN,NaN,NaN
IDT,2023-01-22T08:12,2023-01-22T12:57,285,32.89228070175439,-1.8189894035458565E-12,634.8030175438616,0.5759560457482109,1.4950658489712338
IDT,2023-01-25T00:47:30,2023-01-25T07:51:30,424,33.27216981132075,80.5364912280711,1711.1090717436746,0.5113452731712743,1.8167316431149159
IDT,2023-01-26T01:51:30,2023-01-26T11:34:30,583,33.46929674099486,114.92499999999927,529.4952240565326,0.49575573419932784,1.4847108044955353
IDT,2023-01-27T03:58,2023-01-27T12:29:30,508,33.52972440944882,89.39255724491522,1081.5515340373386,0.4814016706400552,1.4746100291015793
IDT,2023-01-28T04:49:30,2023-01-28T11:41:30,412,33.35436893203884,-1.8189894035458565E-12,341.9821359224152,0.44638287183528924,1.3884348864691531
IDT,2023-01-29T04:33:30,2023-01-29T11:05,391,32.74040920716113,-223.98832432679956,661.6355228509055,0.4411247290285072,1.3805435784280042
IDT,2023-01-30T04:08:30,2023-01-30T13:01,532,31.18063909774436,-1112.6943396226416,4403.504968849942,0.7675414344472209,1.6956700796259596
IDT,2023-01-31T05:05,2023-01-31T11:12:30,368,33.68940217391304,138.41687122183612,257.7117941272445,0.764826551008195,1.6369187935754124
IDT,2023-02-01T04:46,2023-02-01T13:22:30,517,33.07833655705996,-100.21179245282838,902.3017472855281,0.7261264455197434,1.5984343818423998