timestamp,bucket_values
2023-01-19T12:31:30,"[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.002, 0.005, 0.014, 0.032, 0.077, 0.171, 0.259, 0.239, 0.123, 0.048, 0.016, 0.007, 0.002, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-22T12:57:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-25T07:51:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.017, 0.107, 0.191, 0.17, 0.173, 0.146, 0.103, 0.055, 0.022, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-26T11:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.006, 0.03, 0.111, 0.207, 0.234, 0.184, 0.107, 0.063, 0.031, 0.013, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-27T07:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.015, 0.041, 0.164, 0.318, 0.286, 0.115, 0.035, 0.01, 0.003, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-27T12:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.015, 0.041, 0.164, 0.318, 0.286, 0.115, 0.035, 0.01, 0.003, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-28T11:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.007, 0.011, 0.061, 0.269, 0.334, 0.186, 0.071, 0.032, 0.014, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-29T11:05:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0, 0.001, 0.003, 0.006, 0.011, 0.05, 0.185, 0.315, 0.265, 0.111, 0.034, 0.012, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-30T13:01:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.005, 0.025, 0.145, 0.255, 0.3, 0.175, 0.063, 0.02, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-01-31T11:12:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.014, 0.054, 0.253, 0.347, 0.214, 0.075, 0.022, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-01T13:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.003, 0.004, 0.021, 0.083, 0.27, 0.359, 0.189, 0.05, 0.014, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-02T12:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.012, 0.03, 0.122, 0.351, 0.308, 0.113, 0.039, 0.013, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"