timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-01-19T12:31:30,15.4,1.5,4.763,15.4,1.5,4.763,14.4,1.9,10.062,13.6,1.8,4.268
2023-01-22T12:57:00,16.6,1.7,5.9,16.6,1.7,5.9,15.2,1.5,7.971,14.0,1.3,3.098
2023-01-25T07:51:30,14.8,1.5,9.513,17.4,0.9,3.256,14.8,1.5,9.513,15.0,0.8,8.271
2023-01-26T11:34:30,16.0,2.0,10.416,16.0,2.0,10.416,14.8,2.0,11.301,14.0,1.2,5.793
2023-01-27T07:13:30,15.8,0.9,7.208,15.8,0.9,7.208,15.2,1.8,8.525,-1.0,0.0,0.0
2023-01-27T12:29:30,15.8,1.2,6.497,15.8,1.2,6.497,14.8,1.6,11.724,15.2,1.3,5.112
2023-01-28T11:41:30,13.8,0.8,5.117,13.8,0.8,5.117,14.8,2.3,5.903,15.2,0.8,4.101
2023-01-29T11:05:00,15.2,1.5,11.273,15.2,1.5,11.273,14.8,1.7,8.93,15.2,1.5,5.872
2023-01-30T13:01:00,16.4,0.9,7.794,16.4,0.9,7.794,15.6,1.5,10.813,15.2,1.7,8.182
2023-01-31T11:12:30,15.2,1.3,8.769,15.2,1.3,8.769,14.6,1.3,15.376,14.4,1.3,7.28
2023-02-01T13:22:30,15.2,1.5,6.803,15.2,1.5,6.803,15.0,1.6,11.226,15.0,2.4,5.015
2023-02-02T12:34:30,15.2,1.7,6.86,15.2,1.7,6.86,14.6,2.2,5.611,14.2,1.5,4.923